,Nx,val,name,reference
0,1,1531933,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
1,2,1531933,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
2,3,1531933,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
3,4,1531933,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
4,5,1531933,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
5,6,1531933,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
6,7,1531933,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
7,8,1531933,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
8,9,1531933,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
9,10,1531933,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
10,11,1531933,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
11,12,1531933,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
12,13,1091291,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
13,14,1091291,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
14,15,1091291,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
15,16,1091291,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
16,17,1091291,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
17,18,1091291,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
18,19,1091291,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
19,20,1091291,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
20,21,1091291,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
21,22,1090940,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
22,23,1090940,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
23,24,1090940,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
24,25,1090940,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
25,26,1090940,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
26,27,1090940,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
27,28,1090940,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
28,29,1090940,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
29,30,1090940,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
30,31,1078177,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
31,32,1078177,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
32,33,1078177,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
33,34,1078177,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
34,35,1078177,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
35,36,1078177,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
36,37,1078177,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
37,38,1078177,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
38,39,1078177,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
39,40,948066,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
40,41,948066,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
41,42,948066,Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,True
